Bairro,rpa,bairro_normalizado
Aflitos,3,AFLITOS
Afogados,5,AFOGADOS
Agua Fria,2,AGUA FRIA
Alto Do Mandu,3,ALTO DO MANDU
Alto Jose Bonifacio,3,ALTO JOSE BONIFACIO
Alto Jose Do Pinho,3,ALTO JOSE DO PINHO
Alto Santa Terezinha,2,ALTO SANTA TEREZINHA
Apipucos,3,APIPUCOS
Areias,5,AREIAS
Arruda,2,ARRUDA
Barro,5,BARRO
Beberibe,2,BEBERIBE
Boa Viagem,6,BOA VIAGEM
Boa Vista,1,BOA VISTA
Bomba Do Hemeterio,2,BOMBA DO HEMETERIO
Bongi,5,BONGI
Brasilia Teimosa,6,BRASILIA TEIMOSA
Brejo Da Guabiraba,3,BREJO DA GUABIRABA
Brejo De Beberibe,3,BREJO DE BEBERIBE
Cabanga,1,CABANGA
Cacote,5,CACOTE
Cajueiro,2,CAJUEIRO
Campina Do Barreto,2,CAMPINA DO BARRETO
Campo Grande,2,CAMPO GRANDE
Casa Amarela,3,CASA AMARELA
Casa Forte,3,CASA FORTE
Caxanga,4,CAXANGA
Cidade Universitaria,4,CIDADE UNIVERSITARIA
Coelhos,1,COELHOS
Cohab,6,COHAB
Coqueiral,5,COQUEIRAL
Cordeiro,4,CORDEIRO
Corrego Do Jenipapo,3,CORREGO DO JENIPAPO
Curado,5,CURADO
Derby,3,DERBY
Dois Irmaos,3,DOIS IRMAOS
Dois Unidos,2,DOIS UNIDOS
Encruzilhada,2,ENCRUZILHADA
Engenho Do Meio,4,ENGENHO DO MEIO
Espinheiro,3,ESPINHEIRO
Estancia,5,ESTANCIA
Fundao,2,FUNDAO
Gracas,3,GRACAS
Guabiraba,3,GUABIRABA
Hipodromo,2,HIPODROMO
Ibura,6,IBURA
Ilha Do Leite,1,ILHA DO LEITE
Ilha Do Retiro,4,ILHA DO RETIRO
Ilha Joana Bezerra,1,ILHA JOANA BEZERRA
Imbiribeira,6,IMBIRIBEIRA
Ipsep,6,IPSEP
Iputinga,4,IPUTINGA
Jaqueira,3,JAQUEIRA
Jardim Sao Paulo,5,JARDIM SAO PAULO
Jiquia,5,JIQUIA
Jordao,6,JORDAO
Linha Do Tiro,2,LINHA DO TIRO
Macaxeira,3,MACAXEIRA
Madalena,4,MADALENA
Mangabeira,3,MANGABEIRA
Mangueira,5,MANGUEIRA
Monteiro,3,MONTEIRO
Morro Da Conceicao,3,MORRO DA CONCEICAO
Mustardinha,5,MUSTARDINHA
Nova Descoberta,3,NOVA DESCOBERTA
Paissandu,1,PAISSANDU
Parnamirim,3,PARNAMIRIM
Passarinho,3,PASSARINHO
Pau Ferro,3,PAU FERRO
Peixinhos,2,PEIXINHOS
Pina,6,PINA
Poco,3,POCO
Ponto De Parada,2,PONTO DE PARADA
Porto Da Madeira,2,PORTO DA MADEIRA
Prado,4,PRADO
Recife,1,RECIFE
Rosarinho,2,ROSARINHO
San Martin,5,SAN MARTIN
Sancho,5,SANCHO
Santana,3,SANTANA
Santo Amaro,1,SANTO AMARO
Santo Antonio,1,SANTO ANTONIO
Sao Jose,1,SAO JOSE
Sitio Dos Pintos,3,SITIO DOS PINTOS
Soledade,1,SOLEDADE
Tamarineira,3,TAMARINEIRA
Tejipio,5,TEJIPIO
Torre,4,TORRE
Torreao,2,TORREAO
Torroes,4,TORROES
Toto,5,TOTO
Varzea,4,VARZEA
Vasco Da Gama,3,VASCO DA GAMA
Zumbi,4,ZUMBI
