nome_equip_urbano,tipo_equip_urbano,endereco_equip_urbano,codigo_logradouro,lei_equip_urbano,nome_oficial_equip_urbano,area,perimetro,codigo_bairro,nome_bairro,latitude,longitude,area_m2,bairro_normalizado
,Area Verde,Avenida Governador Agamenon Magalhaes,,,,"3243,735391","329,5865855",108,Santo Amaro,-8.038875265,-34.87617362,3243.735391,SANTO AMARO
Dr Jose Vilela,Praça,Avenida Dezessete De Agosto/ Rua Dr Jose Vilela/ Rua Jose De Godoy Vasconcelos,66567.0,00448/49,Praça Dr José Vilela,"3042,858638","214,8839095",469,Parnamirim,-8.034090657,-34.91157119,3042.858638,PARNAMIRIM
Dr Lula Cabral De Melo,Praça,Avenida Dezessete De Agosto/ Avenida Parnamirim/ Rua Padre Roma,66630.0,12917/77,Praça Dr Lula Cabral de Melo,"1893,010563","172,7622162",469,Parnamirim,-8.033198405,-34.91029444,1893.010563,PARNAMIRIM
Jornalista Francisco Pessoa De Queiroz Júnior,Praça,Rua Nestor Silva/ Rua Leonardo Bezerra Cavalcante,84255.0,14265/81,Praça Jornalista Francisco Pessoa de Queiroz,"722,7935899","100,7092719",450,Santana,-8.037484858,-34.91386712,722.7935899,SANTANA
Rádio Jornal Do Comercio,Praça,Avenida Dezesste De Agosto/ Rua Leonardo Bezerra Cavalcante,66893.0,00453/46,Praça Rádio Jornal do Comércio,"2724,390231","204,0777537",469,Parnamirim,-8.036970992,-34.913944,2724.390231,PARNAMIRIM
Rádio Jornal Do Comércio,Praça,Avenida Dezesste De Agosto/ Rua Leonardo Bezerra Cavalcante,66893.0,00453/46,Praça Rádio Jornal do Comércio,"611,9990994","93,49845397",469,Parnamirim,-8.03708098,-34.91429516,611.9990994,PARNAMIRIM
Osvaldo Cruz,Praça,Rua Joao Fernandes Vieira/ Rua Osvaldo Cruz,66761.0,,Praça Oswaldo Cruz,"3644,799287","340,5317923",116,Soledade,-8.055074228,-34.89156634,3644.799287,SOLEDADE
,Area Verde,Avenida Governador Agamenon Magalhaes/ Rua Dr Jaime Da Fonte,,,,"234,3165586","77,54774228",108,Santo Amaro,-8.039951285,-34.87859053,234.3165586,SANTO AMARO
Flôr De Santana,Praça,Avenida Dezessete De Agosto/Rua Dona Olegarinha Da Cunha/ Rua De Santana,66427.0,,Praça Flor de Santana,"790,7132127","111,2194642",477,Poco,-8.038112654,-34.91806848,790.7132127,POCO
Da Vila Teimosinho,Praça,Rua Das Saudades/Rua Do Girassol,29858.0,07930/62,Praça da Vila Teimosinho,"344,9842595","87,56716062",248,Pina,-8.085811115,-34.88401847,344.9842595,PINA
