ruas_envolvidas,bairro,metragem,inauguracao,ano,latitude,longitude,tipo,metragem_m
AV. CRUZ CABUGÁ,SANTO AMARO,"211,36",2019/setembro,2019,-8.053875,-34.881494,tático,211.36
RUA CAPITÃO LIMA,SANTO AMARO,"44,70",2019/setembro,2019,-8.053603,-34.878815,tático,44.7
"ILHA DO LEITE (RUA ANTÔNIO GOMES DE FREITAS, RUA ELVIRA DE OLIVEIRA, RUA SENADOR JOSÉ HENRIQUE, RUA FREI MATIAS TEVIS, RUA ESTRADA DE ISRAEL, RUA JORNALISTA TRAJANO CHACON, RUA DR. JOÃO ASFORA, RUA GENERAL JOAQUIM INÁCIO).",ILHA DO LEITE,"1100,00",2019/outubro,2019,-8.066138,-34.894616,tático,1100.0
LARGO DA PAZ,AFOGADOS,"490,00",2019/novembro,2019,-8.080321,-34.906461,consolidado,490.0
AV. MARIO MELO,SANTO AMARO,"106,27",2019/novembro,2019,-8.055602,-34.879036,tático,106.27
CAMPO SANTO,SANTO AMARO,"276,60",2019/novembro,2019,-8.050164,-34.882164,tático,276.6
AV. ALFREDO LISBOA - TRECHO ENTRE O MUSEU A CÉU ABERTO E A TRAVESSA TIRADENTES,BAIRRO DO RECIFE,"232,80",2020/janeiro,2020,-8.059733,-34.870117,tático,232.8
RUA MARQUÊS DO PARANÁ E RUA ALFREDO DE CARVALHO,ESPINHEIRO,"50,40",2020/janeiro,2020,-8.041825,-34.889183,tático,50.4
RUA JOÃO FERNANDES VIEIRA E RUA JOAQUIM FELIPE,BOA VISTA,"57,65",2020/fevereiro,2020,-8.052686,-34.892208,consolidado,57.65
"RUA JOSÉ DE ALENCAR, RUA BARÃO DE SÃO BORJA E AV. VISCONDE DE GOIANA",BOA VISTA,"219,15",2020/fevereiro,2020,-8.061331,-34.888836,tático,219.15
RUA DR. JOSÉ MARIANO,SANTO ANTÔNIO,"60,49",2020/março,2020,-8.065132,-34.885955,tático,60.49
AVENIDA HISTORIADOR JORDÃO HEMERECIANO,IPUNTIGA,"423,09",2020/maio,2020,-8.035963,-34.943275,tático,423.09
FEIRA NOVA - ESTRADA VELHA DE ÁGUA FRIA,ÁGUA FRIA,"101,07",2020/julho,2020,-8.019804,-34.894617,tático,101.07
NETO DE MENDONÇA / JOSÉ MARIA,ROSARINHO,"720,71",2020/agosto,2020,-8.2762,-34.54042,tático,720.71
RUA DOM JOSÉ LOPES X RUA VISCONDE DE JEQUITINHONHA,BOA VIAGEM,"66,74",2020/outubro,2020,-8.126659,-34.903727,tático,66.74
RUA JEAN EMILE FAVRE,IPSEP,"289,11",2020/outubro,2020,-8.107048,-34.914881,tático,289.11
AVENIDA BEIRA RIO X RUA CONDE DO IRAJÁ,TORRE,"239,22",2020/outubro,2020,-8.045652,-34.904398,consolidado,239.22
RUA DO HOSPICIO X PRINCESA ISABEL,BOA VISTA,"334,22",2020/novembro,2020,-8.057693,-34.883015,consolidado,334.22
