NOME,BAIRRO,RPA,REGIÃO,ENDEREÇO,LATITUDE,LONGITUDE,bairro_normalizado
ACAD UR5,IBURA,6,SUL,"R. Padre Manuel Ribeiro da Rocha, 81 - Lagoa Encantada, Recife - PE, 51300-420, Brazil",-8.13229801512888,-34.9487064475109,IBURA
ACADEMIA CIDADE BARRO-01,BARRO,5,SUDESTE,"R. Padre Diogo Rodrigues, 531a - Barro, Recife - PE, 50900-110, Brazil",-8.08978290659485,-34.9402937734856,BARRO
ACADEMIA CIDADE MADALENA-01,MADALENA,4,OESTE,"Av. Beira Rio, 865 - Madalena, Recife - PE, 50610-100, Brazil",-8.0465098118939,-34.9040884790076,MADALENA
ACADEMIA CIDADE SAN MARTIN-01,SAN MARTIN,5,SUDESTE,"Av. Gen. San Martin, S/N - San Martin, Recife - PE, 50761-000, Brazil",-8.06693000365817,-34.9274064299941,SAN MARTIN
ARRAIAL BOM JESUS-01,CORDEIRO,4,OESTE,"R. Dezesseis de Outubro, 820 - Cordeiro, Recife - PE, 50640-021, Brazil",-8.05723432338562,-34.9312732357951,CORDEIRO
ASSEMBLEIA DEUS MINISTERIO GUARA-01,COHAB,6,SUL,"Av. Chapada do Araripe, 43 - COHAB, Recife - PE, 54280-820, Brazil",-8.11983519870557,-34.9601405549357,COHAB
AV ALFREDO LISBOA-01,SANTO ANTONIO,1,CENTRO,"R. da Moeda, nº46 - Recife, PE, 50030-040, Brazil",-8.06447496945702,-34.8720588907599,SANTO ANTONIO
AV GUARARAPES CORREIOS-01,SANTO ANTONIO,1,CENTRO,"Av. Guararapes, 1 - Santo Antônio, Recife - PE, 50060-001, Brazil",-8.06265117430159,-34.8803188970346,SANTO ANTONIO
AV MARQUES DE OLINDA-01,SANTO ANTONIO,1,CENTRO,"Av. Marquês de Olinda, 11 - Recife, PE, 50030-000, Brazil",-8.06326762722778,-34.871644154191,SANTO ANTONIO
AV RIO BRANCO-01,SANTO ANTONIO,1,CENTRO,"Av. Rio Branco, 126 - Recife, PE, 50030-900, Brazil",-8.06268036279988,-34.8725317935405,SANTO ANTONIO
AV RIO BRANCO-02,SANTO ANTONIO,1,CENTRO,"Av. Rio Branco, 126 - Recife, PE, 50030-900, Brazil",-8.06268036279988,-34.8725317935406,SANTO ANTONIO
AV RIO BRANCO-03,SANTO ANTONIO,1,CENTRO,"Av. Rio Branco, 126 - Recife, PE, 50030-900, Brazil",-8.06268036279988,-34.8725317935408,SANTO ANTONIO
AV RIO BRANCO-04,SANTO ANTONIO,1,CENTRO,"R. do Bom Jesus, 20 - Recife, PE, 50030-170, Brazil",-8.06292467917682,-34.8717003126898,SANTO ANTONIO
BLOCO GALINHA NA VARA-01,BARRO,5,SUDESTE,"Tv. des Pedro Ribeiro Malta, 240 - Barro, Recife - PE, 51275-000, Brazil",-8.10776565487944,-34.9496541986468,BARRO
BOMBA DO HEMETERIO,BOMBA DO HEMETERIO,2,NORTE,"R. Bomba do Hemetério, 403 - Bomba do Hemetério, Recife - PE, 52111-070, Brazil",-8.02199761925098,-34.9001748220899,BOMBA DO HEMETERIO
CALCADA DO NAUTICO,AFLITOS,3,NOROESTE,"Avenida Cons, o - Av. Conselheiro Rosa e Silva, 1086 - Aflitos, Recife - PE, 52050-340, Brazil",-8.0415766,-34.8975023,AFLITOS
CAMPO DE SALINAS-01,AREIAS,5,SUDESTE,"R. Sen. Thomaz Lobo, 5218 - Areias, Recife - PE, 50860-390, Brazil",-8.09539631015151,-34.9231207351573,AREIAS
CAMPO DO 11-01,SANTO AMARO,1,CENTRO,"R. Guaraí, 137 - Santo Amaro, Recife - PE, 50110-045, Brazil",-8.04164199976146,-34.879012784855,SANTO AMARO
CAMPO DO 11-02,SANTO AMARO,1,CENTRO,"R. Guaraí, 67 - Santo Amaro, Recife - PE, 50110-045, Brazil",-8.04154904556488,-34.8789383535543,SANTO AMARO
CEMITERIO CASA AMARELA -01,CASA AMARELA,3,NOROESTE,"Largo de Casa Amarela, 10 - Casa Amarela, Recife - PE, 52070-340, Brazil",-8.02566260915291,-34.9183863401413,CASA AMARELA
CEMITERIO PQ DAS FLORES-01,CURADO,5,SUDESTE,"Av. Liberdade, 1284-1314 - Sancho, Recife - PE, Brasil - Curado, Recife - PE, 50920-683, Brazil",-8.08168576023712,-34.9611675739288,CURADO
CEMITERIO STO AMARO-01,SANTO AMARO,1,CENTRO,"R. do Pombal, 297 - Santo Amaro, Recife - PE, 50100-170, Brazil",-8.05060907273065,-34.8841881752014,SANTO AMARO
CEMITERIO STO AMARO-02,SANTO AMARO,1,CENTRO,"R. do Pombal, 297 - Santo Amaro, Recife - PE, 50100-170, Brazil",-8.05060907273065,-34.8841881752014,SANTO AMARO
CEMITERIO VARZEA-01,VARZEA,4,OESTE,"Av. Prof. Artur de Sá, sn - Cidade Universitária, Recife - PE, 50740-520, Brazil",-8.04573569596928,-34.952919781208,VARZEA
